;0
taman_bungkul;199
tugu_pahlawan;178
house_of_sampoerna;153
pantai_ria_kenjeran;149
kebun_binatang_surabaya;135
monkasel;131
ciputra_waterpark;100
surabaya_north_quay;92
kenjeran_park;84
jembatan_merah;84
hutan_bambu_surabaya;81
atlantis_land;74
rawon_setan;72
taman_pelangi;72
food_festival_pakuwon_city;71
surabaya_night_carnival;71
sate_klopo_ondomohen;65
pasar_atom;64
kebun_bibit_wonorejo;60
klenteng_sanggar_agung;59
ciputra_world_surabaya;54
sego_sambel_mak_yeye;54
galaxy_mall;52
grand_city;48
jembatan_suroboyo;46
g_walk;44
pakuwon_mall;37
taman_apsari;37
taman_prestasi;35
taman_mangrove_wonorejo;34
royal_plaza;33
monumen_bambu_runcing;33
gedung_siola;32
lontong_balap_pak_gendut;29
rumah_batik;27
food_junction_grand_pakuwon;27
nasi_empal_pengampon;26
bebek_goreng_sinjay;25
soto_lamongan_cak_har;24
plaza_surabaya;23
kampung_bulak;23
es_krim_zangrandi;21
jalan_tunjungan;21
rujak_cingur_ahmad_jais;20
balai_pemuda;19
gedung_grahadi;17
lenmarc_mall;14
stadion_gelora_bung_tomo;13
patung_suro_dan_boyo;12
sate_karak;12
taman_persahabatan;11
museum_kesehatan_dr_adhyatma;11
arca_joko_dolog;11
pakuwon_trade_centre;10
de_javasche_bank;9
taman_korea;9
taman_balai_kota_surabaya;9
museum_sepuluh_nopember;9
depot_bu_rudy;8
spesial_belut_surabaya;8
tahu_telor_pak_jayen;7
wisata_perahu_kalimas;7
gedung_internatio;7
makam_peneleh;6
spazio_surabaya;6
taman_cahaya;6
pasar_genteng;6
spikoe_resep_kuno;5
monumen_jalasveva_jayamahe;5
aiola_eatery;5
nasi_goreng_jancuk_surabaya;5
pasar_wonokromo;5
mie_pecun_surabaya;4
surabaya_patata;4
kepiting_kapasan_surabaya;4
hotel_majapahit;4
gedung_cerutu;4
hutan_kota_balas_klumprik;3
patung_buddha_4_rupa;3
soto_ambengan_pak_sadi;3
penjara_kalisosok;3
lapis_kukus_pahlawan;3
soto_madura_tapak_siring;3
darmo_trade_centre;2
rolag_kopi_karah;2
rumah_hantu_darmo;2
taman_makam_pahlawan_kusuma_bangsa;1
monumen_parasamya_purnakarya_nugraha;1
cagar_budaya_cak_durasim;1
bebek_goreng_palupi;1
air_mancur_menari;1
monumen_yos_sudarso;1
